REGION,_REGION,TIMESLICE,FUEL,YEAR,VALUE
Globe,Globe,IN,C1_F_HEA_R,2010,-0.0
Globe,Globe,IN,C1_F_HEA_R,2011,-0.0
Globe,Globe,IN,C1_F_HEA_R,2012,-0.0
Globe,Globe,IN,C1_F_HEA_R,2013,-0.0
Globe,Globe,IN,C1_F_HEA_R,2014,-0.0
Globe,Globe,IN,C1_F_HEA_R,2015,-0.0
Globe,Globe,IN,C1_F_HEA_R,2016,-0.0
Globe,Globe,IN,C1_F_HEA_R,2017,-0.0
Globe,Globe,IN,C1_F_HEA_R,2018,-0.0
Globe,Globe,IN,C1_F_HEA_R,2019,-0.0
Globe,Globe,IN,C1_F_HEA_R,2020,-0.0
Globe,Globe,IN,C1_F_HEA_R,2021,-0.0
Globe,Globe,IN,C1_F_HEA_R,2022,-0.0
Globe,Globe,IN,C1_F_HEA_R,2023,-0.0
Globe,Globe,IN,C1_F_HEA_R,2024,-0.0
Globe,Globe,IN,C1_F_HEA_R,2025,-0.0
Globe,Globe,IN,C1_F_HEA_R,2026,-0.0
Globe,Globe,IN,C1_F_HEA_R,2027,-0.0
Globe,Globe,IN,C1_F_HEA_R,2028,-0.0
Globe,Globe,IN,C1_F_HEA_R,2029,-0.0
Globe,Globe,IN,C1_F_HEA_R,2030,-0.0
Globe,Globe,IN,C1_F_HEA_R,2031,-0.0
Globe,Globe,IN,C1_F_HEA_R,2032,-0.0
Globe,Globe,IN,C1_F_HEA_R,2033,-0.0
Globe,Globe,IN,C1_F_HEA_R,2034,-0.0
Globe,Globe,IN,C1_F_HEA_R,2035,-0.0
Globe,Globe,IN,C1_F_HEA_R,2036,-0.0
Globe,Globe,IN,C1_F_HEA_R,2037,-0.0
Globe,Globe,IN,C1_F_HEA_R,2038,-0.0
Globe,Globe,IN,C1_F_HEA_R,2039,-0.0
Globe,Globe,IN,C1_F_HEA_R,2040,-0.0
Globe,Globe,IN,C1_F_HEA_R,2041,-0.0
Globe,Globe,IN,C1_F_HEA_R,2042,-0.0
Globe,Globe,IN,C1_F_HEA_R,2043,-0.0
