TIMESLICE,YEAR,TECHNOLOGY,MODE_OF_OPERATION,REGION,VALUE
IP,2030,LA2_PROD,1,Globe,101.89058898000002
IP,2030,LandRes,1,Globe,879.5696766
IP,2030,LF,1,Globe,397.09491366
IP,2030,LF1,1,Globe,27.894463566
IP,2030,LF2,1,Globe,369.20044926
IP,2030,LF2_PROD,1,Globe,369.20044926
IP,2030,LO,1,Globe,325.26
IP,2030,MFOOFACTOR,1,Globe,0.21458157804000003
IP,2030,PETAPLANT,1,Globe,3.713790741e-08
IP,2030,XALUMINE,1,Globe,0.50483081682
IP,2030,XCEMMINE,1,Globe,4.406848077
IP,2030,XPHOMINE,1,Globe,5.669061373800001e-09
IP,2030,XPHOMINE,2,Globe,8.239670300400001e-08
IP,2030,XPOTMINE,1,Globe,1.240107126e-09
IP,2031,ALUPLANT,1,Globe,0.50699096856
IP,2031,C1BFRDF00,1,Globe,0.03569863608
IP,2031,C1BMBRFH1,1,Globe,0.64991519154
IP,2031,C1BMBRFN1,1,Globe,1.7085661769999998
IP,2031,C1BMCHP00,1,Globe,0.068408963424
IP,2031,C1BMIGPCS,1,Globe,0.14462241378
IP,2031,C1BMLP000,1,Globe,0.34724458193999996
IP,2031,C1BMSCP00,1,Globe,0.025712445179999998
IP,2031,C1CO00I00,1,Globe,5.5487246813999995
IP,2031,C1COCHP00,1,Globe,0.11066155848
IP,2031,C1COHTF03,1,Globe,1.4536424844
IP,2031,C1COIGP00,1,Globe,0.00894234816
IP,2031,C1COSCP00,1,Globe,1.7063926061999999
IP,2031,C1COSCPCS,1,Globe,0.13065533238000002
IP,2031,C1ELEFF00,1,Globe,10.543618986
IP,2031,C1GOCVP00,1,Globe,0.013466124288
IP,2031,C1HFGCP00,1,Globe,0.26737621332
IP,2031,C1HFGCPCH,1,Globe,0.4247615376
IP,2031,C1HFMRF00,1,Globe,8.326442662800002
IP,2031,C1HTOOTFI,1,Globe,4.0186788732
IP,2031,C1HTOOTFR,1,Globe,0.7786073629799999
IP,2031,C1HYDMP00,1,Globe,1.2422369952
IP,2031,C1HYMIP00,1,Globe,0.067872422868
IP,2031,C1LFBRFN1,1,Globe,0.302461776
IP,2031,C1LFCCP00,1,Globe,0.30456585791999996
IP,2031,C1LFRDF00,1,Globe,2.0016
IP,2031,C1NG00I00,1,Globe,12.748373046
IP,2031,C1NGBRFN1,1,Globe,1.1263681242
IP,2031,C1NGCCP00,1,Globe,2.6601249822
IP,2031,C1NGCCPCH,1,Globe,0.47333106216000004
IP,2031,C1NGGCP00,1,Globe,1.0963318644000002
IP,2031,C1NGGCPCH,1,Globe,0.9701133036
IP,2031,C1NGHTF03,1,Globe,0.5960287585199999
IP,2031,C1NU00I00,1,Globe,1.7959696271999999
IP,2031,C1NULWP00,1,Globe,0.66517393878
IP,2031,C1OCCVP00,1,Globe,0.00034717351680000003
IP,2031,C1OI00I00,1,Globe,10.24136571
IP,2031,C1OIHTF03,1,Globe,0.43746401646000005
IP,2031,C1OIRFP00,1,Globe,10.24136571
IP,2031,C1SOC1P00,1,Globe,0.0033139290239999997
IP,2031,C1SOTHF00,1,Globe,0.32034647232
IP,2031,C1SOV1P00,1,Globe,0.012673148748000001
IP,2031,C1SOV2P00,1,Globe,0.0058703885568
IP,2031,C1WDOFP00,1,Globe,0.0036913487183999998
IP,2031,C1WDONP00,1,Globe,0.13697301582000002
IP,2031,CEMPLANT,1,Globe,0.9538788264000001
IP,2031,FERTPLANT,1,Globe,8.536659701999999e-07
