REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
Globe,IN,FERTPLANT,1,FERT,2049,0.00048247896
Globe,IN,FERTPLANT,1,FERT,2050,0.00047913242
Globe,IN,FERTPLANT,1,FERT,2051,0.00047474511
Globe,IN,FERTPLANT,1,FERT,2052,0.00047006861
Globe,IN,FERTPLANT,1,FERT,2053,0.00046508847
Globe,IN,FERTPLANT,1,FERT,2054,0.0004597895
Globe,IN,FERTPLANT,1,FERT,2055,0.00045415576
Globe,IN,FERTPLANT,1,FERT,2056,0.00045500254
Globe,IN,FERTPLANT,1,FERT,2057,0.00045607168
Globe,IN,FERTPLANT,1,FERT,2058,0.00045713506
Globe,IN,FERTPLANT,1,FERT,2059,0.00045818841
Globe,IN,FERTPLANT,1,FERT,2060,0.00045924176
Globe,IN,FERTPLANT,1,FERT,2061,0.00045959146
Globe,IN,FERTPLANT,1,FERT,2062,0.00045993539
Globe,IN,FERTPLANT,1,FERT,2063,0.00046029511
Globe,IN,FERTPLANT,1,FERT,2064,0.00046065484
Globe,IN,FERTPLANT,1,FERT,2065,0.00072762871
Globe,IN,FERTPLANT,1,FERT,2066,0.00072817021
Globe,IN,FERTPLANT,1,FERT,2067,0.00073114755
Globe,IN,FERTPLANT,1,FERT,2068,0.00077405719
Globe,IN,FERTPLANT,1,FERT,2069,0.00078249688
Globe,IN,FERTPLANT,1,FERT,2070,0.0007918897
Globe,IN,LA,1,L_AGR,2010,5573.8599
Globe,IN,LA,1,L_AGR,2011,5531.0482
Globe,IN,LA,1,L_AGR,2012,5555.7131
Globe,IN,LA,1,L_AGR,2013,5580.4428
Globe,IN,LA,1,L_AGR,2014,5605.4322
Globe,IN,LA,1,L_AGR,2015,5658.1101
Globe,IN,LA,1,L_AGR,2016,5727.2325
Globe,IN,LA,1,L_AGR,2017,5796.5497
Globe,IN,LA,1,L_AGR,2018,5865.9966
Globe,IN,LA,1,L_AGR,2019,5936.3787
Globe,IN,LA,1,L_AGR,2020,6006.0853
Globe,IN,LA,1,L_AGR,2021,6045.0392
Globe,IN,LA,1,L_AGR,2022,6082.926
Globe,IN,LA,1,L_AGR,2023,6121.2102
Globe,IN,LA,1,L_AGR,2024,6158.4587
Globe,IN,LA,1,L_AGR,2025,6195.2641
Globe,IN,LA,1,L_AGR,2026,6233.0618
Globe,IN,LA,1,L_AGR,2027,6270.3777
Globe,IN,LA,1,L_AGR,2028,6307.3855
Globe,IN,LA,1,L_AGR,2029,6343.9337
Globe,IN,LA,1,L_AGR,2030,6380.064
Globe,IN,LA,1,L_AGR,2031,6400.4039
Globe,IN,LA,1,L_AGR,2032,6420.2115
Globe,IN,LA,1,L_AGR,2033,6440.2657
Globe,IN,LA,1,L_AGR,2034,6458.863
Globe,IN,LA,1,L_AGR,2035,6476.1039
