TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
ID,2016,Globe,C1NG00I00,1,54.427263448999994
ID,2016,Globe,C1NGBRFH1,1,8.9478207854
ID,2016,Globe,C1NGBRFN1,1,3.179648736
ID,2016,Globe,C1NGCCP00,1,8.7839239977
ID,2016,Globe,C1NGCCPCH,1,1.28226560837
ID,2016,Globe,C1NGGCP00,1,0.79580508989
ID,2016,Globe,C1NGGCPCH,1,1.0709736803399998
ID,2016,Globe,C1NGHTF03,1,10.6214718898
ID,2016,Globe,C1NU00I00,1,9.583554380199999
ID,2016,Globe,C1NULWP00,1,3.4773418548499997
ID,2016,Globe,C1OCCVP00,1,0.0019077892415999998
ID,2016,Globe,C1OI00I00,1,78.43790751
ID,2016,Globe,C1OIHTF03,1,6.0535407938
ID,2016,Globe,C1OIRFP00,1,6.6976800689000004
ID,2016,Globe,C1OIRFP00,2,71.740228816
ID,2016,Globe,C1SOC1P00,1,0.040323727152
