REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
Globe,C1LFRDF00,C1_P_LFO,1,2032,2.782
Globe,C1LFRDF00,C1_P_LFO,1,2033,2.757
Globe,C1LFRDF00,C1_P_LFO,1,2034,2.732
Globe,C1LFRDF00,C1_P_LFO,1,2035,2.707
Globe,C1LFRDF00,C1_P_LFO,1,2036,2.682
Globe,C1LFRDF00,C1_P_LFO,1,2037,2.657
Globe,C1LFRDF00,C1_P_LFO,1,2038,2.632
Globe,C1LFRDF00,C1_P_LFO,1,2039,2.607
Globe,C1LFRDF00,C1_P_LFO,1,2040,2.582
Globe,C1LFRDF00,C1_P_LFO,1,2041,2.557
Globe,C1LFRDF00,C1_P_LFO,1,2042,2.532
Globe,C1LFRDF00,C1_P_LFO,1,2043,2.507
Globe,C1LFRDF00,C1_P_LFO,1,2044,2.482
Globe,C1LFRDF00,C1_P_LFO,1,2045,2.457
Globe,C1LFRDF00,C1_P_LFO,1,2046,2.432
Globe,C1LFRDF00,C1_P_LFO,1,2047,2.407
Globe,C1LFRDF00,C1_P_LFO,1,2048,2.382
Globe,C1LFRDF00,C1_P_LFO,1,2049,2.357
Globe,C1LFRDF00,C1_P_LFO,1,2050,2.332
Globe,C1LFRDF00,C1_P_LFO,1,2051,2.332
Globe,C1LFRDF00,C1_P_LFO,1,2052,2.332
Globe,C1LFRDF00,C1_P_LFO,1,2053,2.332
Globe,C1LFRDF00,C1_P_LFO,1,2054,2.332
Globe,C1LFRDF00,C1_P_LFO,1,2055,2.332
Globe,C1LFRDF00,C1_P_LFO,1,2056,2.332
Globe,C1LFRDF00,C1_P_LFO,1,2057,2.332
Globe,C1LFRDF00,C1_P_LFO,1,2058,2.332
Globe,C1LFRDF00,C1_P_LFO,1,2059,2.332
Globe,C1LFRDF00,C1_P_LFO,1,2060,2.332
Globe,C1LFRLF00,C1_P_LFO,1,2010,0.2034
Globe,C1LFRLF00,C1_P_LFO,1,2011,0.2251
Globe,C1LFRLF00,C1_P_LFO,1,2012,0.2125
Globe,C1LFRLF00,C1_P_LFO,1,2013,0.2113
Globe,C1LFRLF00,C1_P_LFO,1,2014,0.2067
Globe,C1LFRLF00,C1_P_LFO,1,2015,0.2045
Globe,C1LFRLF00,C1_P_LFO,1,2016,0.2026
Globe,C1LFRLF00,C1_P_LFO,1,2017,0.2097
Globe,C1LFRLF00,C1_P_LFO,1,2018,0.2287
Globe,C1LFRLF00,C1_P_LFO,1,2019,0.2355
Globe,C1LFRLF00,C1_P_LFO,1,2020,0.1893
Globe,C1LFRLF00,C1_P_LFO,1,2021,0.2496
Globe,C1LFRLF00,C1_P_LFO,1,2022,0.3099
Globe,C1LFRLF00,C1_P_LFO,1,2023,0.3701
Globe,C1LFRLF00,C1_P_LFO,1,2024,0.4304
Globe,C1LFRLF00,C1_P_LFO,1,2025,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2026,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2027,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2028,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2029,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2030,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2031,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2032,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2033,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2034,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2035,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2036,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2037,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2038,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2039,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2040,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2041,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2042,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2043,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2044,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2045,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2046,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2047,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2048,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2049,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2050,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2051,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2052,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2053,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2054,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2055,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2056,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2057,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2058,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2059,0.4907
Globe,C1LFRLF00,C1_P_LFO,1,2060,0.4907
Globe,C1MHMRF00,C1_S_MOH,1,2010,10.0503
Globe,C1MHMRF00,C1_S_MOH,1,2011,9.9296
Globe,C1MHMRF00,C1_S_MOH,1,2012,9.809
Globe,C1MHMRF00,C1_S_MOH,1,2013,9.6884
Globe,C1MHMRF00,C1_S_MOH,1,2014,9.204
Globe,C1MHMRF00,C1_S_MOH,1,2015,8.7196
Globe,C1MHMRF00,C1_S_MOH,1,2016,8.5258
Globe,C1MHMRF00,C1_S_MOH,1,2017,8.3321
Globe,C1MHMRF00,C1_S_MOH,1,2018,8.1383
Globe,C1MHMRF00,C1_S_MOH,1,2019,7.9445
Globe,C1MHMRF00,C1_S_MOH,1,2020,7.7508
Globe,C1MHMRF00,C1_S_MOH,1,2021,7.6539
Globe,C1MHMRF00,C1_S_MOH,1,2022,7.557
Globe,C1MHMRF00,C1_S_MOH,1,2023,7.4601
Globe,C1MHMRF00,C1_S_MOH,1,2024,7.3632
Globe,C1MHMRF00,C1_S_MOH,1,2025,7.2663
Globe,C1MHMRF00,C1_S_MOH,1,2026,7.1694
Globe,C1MHMRF00,C1_S_MOH,1,2027,7.0726
Globe,C1MHMRF00,C1_S_MOH,1,2028,6.9757
Globe,C1MHMRF00,C1_S_MOH,1,2029,6.8788
Globe,C1MHMRF00,C1_S_MOH,1,2030,6.7819
Globe,C1MHMRF00,C1_S_MOH,1,2031,6.685
Globe,C1MHMRF00,C1_S_MOH,1,2032,6.5881
Globe,C1MHMRF00,C1_S_MOH,1,2033,6.4913
Globe,C1MHMRF00,C1_S_MOH,1,2034,6.3944
Globe,C1MHMRF00,C1_S_MOH,1,2035,6.2975
Globe,C1MHMRF00,C1_S_MOH,1,2036,6.2006
Globe,C1MHMRF00,C1_S_MOH,1,2037,6.1037
Globe,C1MHMRF00,C1_S_MOH,1,2038,6.0068
Globe,C1MHMRF00,C1_S_MOH,1,2039,5.9099
Globe,C1MHMRF00,C1_S_MOH,1,2040,5.8131
Globe,C1MHMRF00,C1_S_MOH,1,2041,5.7162
Globe,C1MHMRF00,C1_S_MOH,1,2042,5.6193
Globe,C1MHMRF00,C1_S_MOH,1,2043,5.5224
Globe,C1MHMRF00,C1_S_MOH,1,2044,5.4255
Globe,C1MHMRF00,C1_S_MOH,1,2045,5.3286
Globe,C1MHMRF00,C1_S_MOH,1,2046,5.2318
Globe,C1MHMRF00,C1_S_MOH,1,2047,5.1349
Globe,C1MHMRF00,C1_S_MOH,1,2048,5.038
Globe,C1MHMRF00,C1_S_MOH,1,2049,4.9411
Globe,C1MHMRF00,C1_S_MOH,1,2050,4.8442
Globe,C1MHMRF00,C1_S_MOH,1,2051,4.8442
Globe,C1MHMRF00,C1_S_MOH,1,2052,4.8442
Globe,C1MHMRF00,C1_S_MOH,1,2053,4.8442
Globe,C1MHMRF00,C1_S_MOH,1,2054,4.8442
Globe,C1MHMRF00,C1_S_MOH,1,2055,4.8442
Globe,C1MHMRF00,C1_S_MOH,1,2056,4.8442
Globe,C1MHMRF00,C1_S_MOH,1,2057,4.8442
Globe,C1MHMRF00,C1_S_MOH,1,2058,4.8442
Globe,C1MHMRF00,C1_S_MOH,1,2059,4.8442
Globe,C1MHMRF00,C1_S_MOH,1,2060,4.8442
Globe,C1NGBRFH1,C1_P_GAS,1,2010,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2011,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2012,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2013,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2014,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2015,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2016,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2017,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2018,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2019,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2020,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2021,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2022,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2023,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2024,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2025,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2026,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2027,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2028,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2029,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2030,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2031,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2032,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2033,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2034,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2035,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2036,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2037,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2038,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2039,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2040,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2041,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2042,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2043,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2044,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2045,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2046,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2047,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2048,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2049,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2050,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2051,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2052,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2053,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2054,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2055,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2056,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2057,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2058,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2059,1.33
Globe,C1NGBRFH1,C1_P_GAS,1,2060,1.33
Globe,C1NGBRFN1,C1_P_GAS,1,2010,1.11
Globe,C1NGBRFN1,C1_P_GAS,1,2011,1.11
Globe,C1NGBRFN1,C1_P_GAS,1,2012,1.11
Globe,C1NGBRFN1,C1_P_GAS,1,2013,1.11
Globe,C1NGBRFN1,C1_P_GAS,1,2014,1.11
Globe,C1NGBRFN1,C1_P_GAS,1,2015,1.11
Globe,C1NGBRFN1,C1_P_GAS,1,2016,1.11
Globe,C1NGBRFN1,C1_P_GAS,1,2017,1.11
Globe,C1NGBRFN1,C1_P_GAS,1,2018,1.11
Globe,C1NGBRFN1,C1_P_GAS,1,2019,1.11
Globe,C1NGBRFN1,C1_P_GAS,1,2020,1.11
Globe,C1NGBRFN1,C1_P_GAS,1,2021,1.11
Globe,C1NGBRFN1,C1_P_GAS,1,2022,1.11
Globe,C1NGBRFN1,C1_P_GAS,1,2023,1.11
Globe,C1NGBRFN1,C1_P_GAS,1,2024,1.11
