TIMESLICE,YEAR,MODE_OF_OPERATION,TECHNOLOGY,REGION,VALUE
ID,2014,1,LF1,Globe,588.9155
ID,2014,1,LF2,Globe,1230.29021340256
ID,2014,1,LF2_PROD,Globe,1230.29021340256
ID,2014,1,LO,Globe,1783.8255000000004
ID,2014,1,MFOOFACTOR,Globe,2.6314638673007766
ID,2014,1,PAPPLANT,Globe,2.8496273778364705
ID,2014,1,PETAPLANT,Globe,4.3556363355675075e-06
ID,2014,1,PETBPLANT,Globe,20.7467724920882
ID,2014,1,STEPLANT,Globe,12.341930473252065
ID,2014,1,VFOOFACTOR,Globe,31.389317789710717
ID,2014,1,XALUMINE,Globe,1.771886397791996
ID,2014,1,XCEMMINE,Globe,21.359028830611805
ID,2014,1,XPHOMINE,Globe,5.854363672079213e-07
ID,2014,1,XPOTMINE,Globe,1.2806420532673277e-07
ID,2014,1,XSTEMINE,Globe,18.993428772854166
ID,2015,1,ALUPLANT,Globe,2.039877192692187
ID,2015,1,C1BFRDF00,Globe,0.19512611208347713
ID,2015,1,C1BMBRFH1,Globe,7.343625116889036
ID,2015,1,C1BMCHP00,Globe,0.346437182736
ID,2015,1,C1BMHTF03,Globe,2.70703731024
ID,2015,1,C1BMLP000,Globe,2.1683534511955607
ID,2015,1,C1CO00I00,Globe,67.3559339925365
ID,2015,1,C1COBRFH1,Globe,3.3997340241949745
ID,2015,1,C1COCHP00,Globe,1.411539439959648
ID,2015,1,C1COHTF03,Globe,19.772575858305448
ID,2015,1,C1COSCP00,Globe,19.366611867384293
ID,2015,1,C1ELEFF00,Globe,29.62269869157665
ID,2015,1,C1ELRLF00,Globe,2.0549247336923644
ID,2015,1,C1GOCVP00,Globe,0.114467354496
ID,2015,1,C1GOHTF03,Globe,0.19800539855999996
ID,2015,1,C1HFGCPCH,Globe,0.090394956563184
ID,2015,1,C1HFMRF00,Globe,43.40101
ID,2015,1,C1HTOOTFI,Globe,35.73374727604634
ID,2015,1,C1HTOOTFR,Globe,11.772869391545548
ID,2015,1,C1HYDMP00,Globe,5.6650717558152
ID,2015,1,C1HYMIP00,Globe,0.37386364458239996
ID,2015,1,C1LFCCP00,Globe,0.30608339345049596
ID,2015,1,C1LFRDF00,Globe,9.601980789999999
ID,2015,1,C1LFRLF00,Globe,4.36199728670969
ID,2015,1,C1NG00I00,Globe,53.416360006841366
ID,2015,1,C1NGBRFH1,Globe,5.286066870592275
ID,2015,1,C1NGBRFN1,Globe,9.095161443530168
ID,2015,1,C1NGCCP00,Globe,6.32063583396
ID,2015,1,C1NGCCPCH,Globe,0.866020692096
ID,2015,1,C1NGGCPCH,Globe,0.81189439884
ID,2015,1,C1NGHTF03,Globe,13.031466923593769
ID,2015,1,C1OI00I00,Globe,78.1626067
ID,2015,1,C1OIHTF03,Globe,6.952498854216894
ID,2015,1,C1OIRFP00,Globe,24.531837326597657
ID,2015,2,C1OIRFP00,Globe,35.111052900155
ID,2015,1,C1SOC1P00,Globe,0.00650382696
ID,2015,1,C1SOTHF00,Globe,0.7076163732479998
ID,2015,1,C1SOV1P00,Globe,0.28884218176800003
ID,2015,1,C1SOV2P00,Globe,0.22026293971199998
ID,2015,1,C1WDOFP00,Globe,0.004335884639999999
ID,2015,1,C1WDONP00,Globe,0.493640466264
ID,2015,1,CEMPLANT,Globe,5.0439346873623405
ID,2015,1,FERTPLANT,Globe,0.0001847570172491764
ID,2015,1,LA,Globe,2377.9450262371456
ID,2015,1,LA1,Globe,732.6910026789086
ID,2015,1,LA1_i,Globe,168.56274
ID,2015,1,LA1_i_PROD,Globe,168.56274
ID,2015,1,LA1_PROD,Globe,732.6910026789086
ID,2015,1,LA2,Globe,1476.6912835582364
ID,2015,1,LA2_PROD,Globe,1476.6912835582364
ID,2015,1,LandRes,Globe,5962.0247
ID,2015,1,LF,Globe,1796.709673762855
ID,2015,1,LF1,Globe,588.9155
ID,2015,1,LF2,Globe,1207.794173762855
ID,2015,1,LF2_PROD,Globe,1207.794173762855
ID,2015,1,LO,Globe,1787.37
ID,2015,1,MFOOFACTOR,Globe,2.6580443104048253
ID,2015,1,PAPPLANT,Globe,2.865609341982356
ID,2015,1,PETAPLANT,Globe,4.361692810170579e-06
ID,2015,1,PETBPLANT,Globe,21.309864808611014
ID,2015,1,STEPLANT,Globe,12.427769897453633
ID,2015,1,VFOOFACTOR,Globe,31.654214666328333
ID,2015,1,XALUMINE,Globe,1.8340280854846367
ID,2015,1,XCEMMINE,Globe,21.537601115037198
ID,2015,1,XPHOMINE,Globe,5.912224551973646e-07
ID,2015,1,XPOTMINE,Globe,1.2932991207442352e-07
ID,2015,1,XSTEMINE,Globe,19.125530067137806
ID,2016,1,ALUPLANT,Globe,2.091728052775329
ID,2016,1,C1BFRDF00,Globe,0.16953547144806366
